DW_CLIENTE;DW_TEMPO;DW_LOCALIDADE;vr_total_venda
c015c48b634034eabec5c51a4214f07f42d32f77cb07582de556926f4ed46ce6;72173ae36213b8f687cfb17e7ae501405cce2c63c06e2cc56730851a4e1c255c;80c5a125493021661d6beff71bed7cdcd7a2ebb54676c8d4f98735f69f4fc4cc;""
1daea7fb1ae751f0151cf312903f9720024d5b792e20416aa6f43e372d4f3d6a;e7efb624c12d61f375d2564c68412206cc9515f1a5ceb4c794313c2c5b373235;6cc2f08869833f115830af85e68ee4bf86fcfe453662912ce75399d3e242e75d;""
42c19b4ccc107b9e4b87c40453066f9b6b7c1b9e4cef35270ee035dfbc6fb26b;ab0cc47fdd66238efdfe510328ead07cba33f32e81c17224cace27cf71c2dd59;5a5065fbe671eda9efb34619e13941c32cbc0015a2ec7254f6a526c0a83faa03;""
a657fe75028171e5cd3fedd6d91d16f16da60989fab8a70433cff53d29431d6e;ba4fb41da14c6b91e45cdb61e8c7018f606bfde35131122d768bbda09ad52281;cb7c53d266a975487570456f638b063b60272f1f76688db09ba8e0530b558af5;""
8ce5e354afdcc6c165756a88ab784ad0a3da070391571dc40c93fa111687e426;7ef465638b71163be1372490bc191bf760ba3eb350e9563c9b230ca193bfbc00;e1d9b8155a7fdd7aef70a42cab5292a07d47f00acd8a1240a03aab4d1472295c;1192.0
8ce5e354afdcc6c165756a88ab784ad0a3da070391571dc40c93fa111687e426;5d1ea14affd734cc0d41745ddbfde240935dddc72e513dffe5f75af04be6201b;e1d9b8155a7fdd7aef70a42cab5292a07d47f00acd8a1240a03aab4d1472295c;""
9b3f771017db16d0cb719b3f66947d295058c5143dbcc4636e2f08394c827597;53596ea9a6c431036c9252eb4415ef9e50e3af99339cfbe0313abd897d78b63a;5533c7a7b409731cc5d28663fb678f2f20ce83499eb7ec2883e3901bdf9be9ed;""
ba622b2c6061b990d969e61da611829c6b743bb4332c98e80b69ba0e49ef2a0f;ae2580258e60a9ecd384e4054741ae74ad37e89af5e3145708756fcfab022821;6046602bc6c28cd5c28b8e4c04df905abe4ef5b014d87569d51c04e3e9ea9972;""
7fc571f9a9f792aa54d1788f924606a67a55634e46b8f109637f6e9313c0e0cb;38c571182e7cfb7111d99f7b196b21cb3f66cab9a0e59f5d8cbca48817273639;a1429b6470e0910788aa331b92cce7f7fed163c69617fb997e0ce7a4983d8db0;1935.0
a657fe75028171e5cd3fedd6d91d16f16da60989fab8a70433cff53d29431d6e;fd13ccd2e956a3b503a939d8113ae2e7a0faf454eb8121f12ed5724aed8ace2b;5ac66d19aeafdc63f064e04d6098f3d4b0111b3efe8713533a224d626119487a;""
89210ea2e589916cffa059349c78261c1f7a5c2fb4704b88ab32dd05eed9e955;969ac743630a7baa09476fa9c565d133d6b9c4fd9346def3143338bdd0b5d398;b5ac9eb59eeae8f41a5dfcaf9c82d5bb7e49184b9bd624b96bd275244dd53e00;""
ebb527b06d2ed0626fca509cf496c798c00c8e33bb0319e0141bbb1ac801a7ea;862c8a5f13b3bb04ed7a1988480ba1d1b13c840268d59283fe5d84bc877d28d4;8efa0d6fcb5cb46205e7bfa6e286dd20948f1ba9c0d85638b5cf9ea9b0d0f071;""
8ce5e354afdcc6c165756a88ab784ad0a3da070391571dc40c93fa111687e426;13f7c7a7634950576bb76095b6d085d4f25a875cba84242457418d245a00dfb7;e1d9b8155a7fdd7aef70a42cab5292a07d47f00acd8a1240a03aab4d1472295c;8046.0
83d74ca250c50b2b5f68f726f2d79ee4cf1744bfff27e21d79f3e25acf804a56;9be7d747204471dd7577346bf7583f9fde08200a69a656dab1714835fd4cccb1;93f32946e3a3faac9903c768deaa40313a259796c18b191dee9fba03d0e7a30e;""
336bd40084e0c26ec093cdf50911bf0451a1fa1a78a695e3e902078bee899726;86fdf1a76d9c6ae3af78e15f4eeccd275be25c547a7690961f9c84c6d07cb78d;350f293b1ade5502f204264619f74dfa64b4209a4142617da84defa1358e6943;""
